PL;Player Name;Team Position;7M G/S;7M Accuracy;6M G/S;6M Accuracy;9M G/S;9M Accuracy;Wing G/S;Wing Accuracy;Pivot G/S;Pivot Accuracy;Fastbreak G/S;Fastbreak Accuracy
2491;Wiederstein, Fabian;HBW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
2492;Helander, Benjamin;RNL, LW;3/3;100%;1/1;100%;0/0;-;5/7;71.43%;0/0;-;1/1;100%
2493;Urban, Tomas;GWD, RW;4/4;100%;2/3;66.67%;0/0;-;1/1;100%;0/0;-;1/1;100%
2494;Kohlbacher, Jannik;RNL, P;0/0;-;2/2;100%;0/0;-;0/0;-;4/5;80%;0/0;-
2495;Schluroff, Miro;GWD, LB;0/0;-;4/5;80%;1/2;50%;0/0;-;0/0;-;1/1;100%
2496;Schmid, Andre;RNL, CB;4/5;80%;0/1;0%;1/3;33.33%;0/0;-;0/0;-;0/0;-
2497;Darmoul, Mohamed Amine;GWD, CB;0/0;-;4/4;100%;0/0;-;0/0;-;0/0;-;0/0;-
2498;Lagergren, Albin;RNL, RB;0/0;-;2/2;100%;1/1;100%;0/0;-;0/0;-;0/0;-
2499;Korte, Mats;GWD, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;2/2;100%
2500;Meister, Lucas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;1/1;100%
2501;Diocou Soumare, Mamadou Lamine;RNL, RW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;1/1;100%
2502;Kranzmann, Florian;GWD, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
2503;Groetzki, Patrick;RNL, RW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
2504;Grebenc, Jan;GWD, LB;0/0;-;0/1;0%;1/2;50%;0/0;-;0/0;-;0/0;-
2505;Vest Kirkelokke, Niclas;RNL, RB;0/0;-;0/0;-;1/3;33.33%;0/0;-;0/0;-;0/0;-
2506;Jukic, Nikola;GWD, RB;0/0;-;1/2;50%;0/1;0%;0/0;-;0/0;-;0/0;-
2507;Nilsson, Lukas;RNL, LB;0/0;-;0/1;0%;1/3;33.33%;0/0;-;0/0;-;0/0;-
2508;Ahouansou, Philipp;RNL, LB;0/0;-;0/1;0%;1/3;33.33%;0/0;-;0/0;-;0/0;-
2509;Zeitz, Christian;GWD, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2510;Patrail, Mait;RNL, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2511;Richtzenhain, Justus Nicolas;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2512;Thiele, Joshua;GWD, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2513;Abutovic, Ilija;RNL, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2514;Gislason, Ymir Orn;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2515;Horzen, Kristjan;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2516;Staar, Max;GWD, RW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
2517;Knorr, Juri;RNL, CB;0/0;-;0/1;0%;0/1;0%;0/0;-;0/0;-;0/0;-
2518;Pieczkowski, Niclas;GWD, CB;0/0;-;0/1;0%;0/2;0%;0/0;-;0/0;-;0/0;-
2519;Rubin, Lenny;WET, LB;0/0;-;1/1;100%;3/6;50%;0/0;-;0/0;-;3/3;100%
2520;Cavor, Stefan;WET, RB;0/0;-;0/0;-;4/5;80%;0/0;-;0/0;-;0/0;-
2521;Holst, Maximilian;WET, LW;5/5;100%;0/1;0%;0/0;-;0/1;0%;0/0;-;0/0;-
2522;Zintel, Bjorn;HBW, CB;0/0;-;0/1;0%;3/5;60%;0/0;-;1/1;100%;0/0;-
2523;Lipovina, Vladan;HBW, RB;3/4;75%;0/1;0%;1/5;20%;0/0;-;0/0;-;0/0;-
2524;Feld, Alexander;WET, CB;1/1;100%;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-
2525;Volz, Patrick;HBW, LW;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-;0/0;-
2526;Nyfjall, Adam;WET, P;0/0;-;2/2;100%;0/0;-;0/0;-;1/1;100%;0/0;-
2527;Forsell Schefvert, Olle;WET, LB;0/0;-;2/2;100%;0/1;0%;0/0;-;0/0;-;0/0;-
2528;Fredriksen, Magnus;WET, CB;0/0;-;3/3;100%;0/1;0%;0/0;-;0/0;-;0/0;-
2529;Novak, Domen;WET, RW;0/0;-;1/1;100%;0/0;-;1/1;100%;0/0;-;0/1;0%
2530;Schoch, Jona;HBW, LB;0/0;-;0/1;0%;1/2;50%;0/0;-;0/0;-;0/0;-
2531;Ingason, Daniel Thor;HBW, LB;0/0;-;0/1;0%;0/2;0%;0/0;-;1/1;100%;0/0;-
2532;Scott Junior, James;HBW, LB;0/0;-;0/0;-;2/7;28.57%;0/0;-;0/0;-;0/0;-
2533;Wiederstein, Fabian;HBW, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2534;Beciri, Kristian;HBW, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2535;Strosack, Moritz;HBW, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
2536;Weissgerber, Lars;WET, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/1;0%
2537;Heinzelmann, Tobias;HBW, P;0/0;-;0/0;-;0/1;0%;1/1;100%;0/0;-;0/0;-
2538;Thomann, Gregor;HBW, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2539;Mellegard, Emil;WET, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2540;Srsen, Ivan;WET, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2541;Kusan, Tomislav;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2542;Huber, Elias;HBW, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2543;Danner, Felix;WET, P;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
2544;Munzinger, Luca;HBW, RB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
2545;Stutzke, Lukas;BHC, LB;0/0;-;3/3;100%;1/1;100%;0/0;-;0/0;-;2/2;100%
2546;Budel, Nico;HCE, CB;0/0;-;5/5;100%;0/1;0%;0/0;-;0/0;-;0/0;-
2547;Steinert, Christoph;HCE, RB;1/1;100%;2/3;66.67%;2/4;50%;0/0;-;0/0;-;0/0;-
2548;Boomhouwer, Jeffrey;BHC, LW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;2/2;100%
2549;Bissel, Christopher;HCE, LW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;2/3;66.67%
2550;Gutbrod, Fabian;BHC, LB;0/0;-;1/1;100%;2/4;50%;0/0;-;0/0;-;0/0;-
2551;Firnhaber, Sebastian;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;3/5;60%;0/0;-
2552;Zechel, Tim;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
2553;Olsson, Hampus;HCE, RW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;0/0;-
2554;Bergner, Tom;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
2555;Arnesson, Linus;BHC, LB;1/1;100%;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
2556;Nikolaisen Svegard, Tom Kare;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-
2557;Schonningsen, Simen Nicolay;BHC, RB;0/0;-;2/2;100%;0/3;0%;0/0;-;0/0;-;0/0;-
2558;Schmidt, David;BHC, RB;0/0;-;2/6;33.33%;0/1;0%;0/0;-;0/0;-;0/0;-
2559;Jeppsson, Simon;HCE, LB;0/0;-;0/1;0%;2/6;33.33%;0/0;-;0/0;-;0/0;-
2560;Gunnarsson, Arnor Thor;BHC, RW;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
2561;Overby, Petter;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2562;Leban, Patrik;HCE, CB;0/0;-;0/1;0%;1/1;100%;0/0;-;0/0;-;0/0;-
2563;Sellin, Johannes;HCE, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2564;Link, Nikolai;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2565;Damm, Sebastian;BHC, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2566;Hansson, Emil;BHC, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2567;Jaeger, Max;HCE, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2568;Weck, Alexander;BHC, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2569;Marschall, Tarek;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2570;Szucs, Csaba;BHC, CB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
2571;Fath, Steffen;HCE, LB;0/0;-;0/1;0%;0/2;0%;0/0;-;0/0;-;0/0;-
2572;Elisson, Bjarki Mar;TBV, LW;2/3;66.67%;0/0;-;0/0;-;3/3;100%;0/0;-;3/3;100%
2573;Cederholm, Andreas;TBV, RB;0/0;-;6/8;75%;1/2;50%;0/0;-;0/0;-;0/0;-
2574;Weller, Niklas;HSV, P;0/2;0%;0/0;-;0/0;-;0/0;-;6/6;100%;0/0;-
2575;Tissier, Leif;HSV, CB;0/0;-;4/5;80%;1/2;50%;0/1;0%;0/0;-;0/0;-
2576;Forstbauer, Jan;HSV, RB;0/0;-;2/5;40%;3/4;75%;0/0;-;0/0;-;0/0;-
2577;Mortensen, Casper Ulrich;HSV, LW;1/1;100%;0/0;-;0/0;-;0/0;-;1/1;100%;2/2;100%
2578;Bauer, Philipp;HSV, CB;0/0;-;4/5;80%;0/0;-;0/0;-;0/0;-;0/0;-
2579;Simak, Frederik;TBV, LB;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-
2580;Hutecek, Lukas;TBV, LB;0/0;-;1/1;100%;2/2;100%;0/0;-;0/0;-;0/0;-
2581;Schagen, Bobby;TBV, RW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;1/1;100%
2582;Andersen, Frederik Bo;HSV, RW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;2/2;100%
2583;Suton, Tim;TBV, CB;0/0;-;2/2;100%;0/3;0%;0/0;-;0/0;-;0/0;-
2584;Carlsbogard, Jonathan;TBV, LB;0/0;-;0/2;0%;2/5;40%;0/0;-;0/0;-;0/0;-
2585;Spath, Manuel;HSV, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2586;Guardiola Villaplana, Isaias;TBV, RB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
2587;Wullenweber, Finn;HSV, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
2588;Kogut, Andrej;TBV, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2589;Theilinger, Nicolai;HSV, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2590;Schimmelbauer, Tobias;HSV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2591;Ossenkopp, Lukas;HSV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2592;Zerbe, Lukas;TBV, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2593;Bergemann, Thies;HSV, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2594;Gertges, Jonas;HSV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2595;Reitemann, Michel;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2596;Schwarzer, Kian;TBV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2597;Valiullin, Azat;HSV, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
2598;Lindberg, Hans;BER, RW;6/7;85.71%;0/0;-;0/0;-;1/1;100%;2/2;100%;2/2;100%
2599;Kristjansson, Viggo;TVB, RB;2/3;66.67%;4/4;100%;1/1;100%;0/0;-;0/0;-;0/0;-
2600;Lonn, Adam;TVB, LB;0/0;-;4/6;66.67%;3/6;50%;0/0;-;0/0;-;0/0;-
2601;Andersson, Lasse Bredekjaer;BER, LB;0/0;-;2/2;100%;3/8;37.5%;0/0;-;0/0;-;0/0;-
2602;Pfattheicher, Sascha;TVB, RW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;2/2;100%
2603;Peshevski, Zarko;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;4/7;57.14%;0/0;-
2604;Holm, Jacob Tandrup;BER, CB;0/0;-;3/4;75%;1/5;20%;0/0;-;0/0;-;0/0;-
2605;Hanusz, Egon;TVB, CB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;2/2;100%
2606;Matthes, Tim;BER, LW;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-;0/0;-
2607;Zieker, Patrick;TVB, LW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;1/1;100%
2608;Michalczik, Marian;BER, LB;0/0;-;1/1;100%;1/2;50%;0/0;-;0/0;-;1/1;100%
2609;Marsenic, Mijajlo;BER, P;0/0;-;0/0;-;0/0;-;0/0;-;3/4;75%;0/0;-
2610;Vujovic, Milos;BER, LW;1/1;100%;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
2611;Koch, Johan;BER, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2612;Rothlisberger, Samuel;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2613;Augustinussen, Sebastian;TVB, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
2614;Runarsson, Andri Mar;TVB, CB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
2615;Weiss, Dominik;TVB, LB;0/0;-;1/1;100%;0/2;0%;0/0;-;0/0;-;0/0;-
2616;Meschke, Benjamin;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2617;Kopljar, Marko;BER, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2618;Chrintz, Valter;BER, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2619;Schulze, Alexander;TVB, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2620;Langhoff, Matthes;BER, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2621;Beneke, Max Christoph;BER, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2622;Kuhn, Julius;MTM, LB;0/0;-;1/3;33.33%;5/8;62.5%;0/0;-;0/0;-;2/2;100%
2623;Maric, Marino;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;5/5;100%;0/0;-
2624;Larsen, Patrick Wiesmach;LEI, RW;1/3;33.33%;0/0;-;0/0;-;0/0;-;1/2;50%;3/4;75%
2625;Jotic, Lovro;LEI, CB;0/0;-;3/4;75%;1/2;50%;0/0;-;0/0;-;0/0;-
2626;Hafner, Kai;MTM, RB;0/0;-;2/2;100%;2/4;50%;0/1;0%;0/0;-;0/0;-
2627;Gomes, Andre;MTM, LB;0/0;-;3/4;75%;0/3;0%;0/0;-;1/1;100%;0/0;-
2628;Kastening, Timo;MTM, RW;0/0;-;0/0;-;1/1;100%;2/3;66.67%;0/0;-;0/0;-
2629;Binder, Lukas;LEI, LW;0/0;-;0/0;-;0/0;-;1/2;50%;1/1;100%;1/1;100%
2630;Milosevic, Alen;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;3/5;60%;0/0;-
2631;Mamic, Marko;LEI, LB;0/0;-;0/0;-;3/5;60%;0/0;-;0/0;-;0/1;0%
2632;Jonsson, Elvar Orn;MTM, CB;0/0;-;0/2;0%;0/1;0%;0/0;-;0/0;-;2/2;100%
2633;Esche, Marc;LEI, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
2634;Ernst, Simon;LEI, CB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;1/1;100%
2635;Sunnefeldt, Oskar;LEI, LB;0/0;-;0/1;0%;1/1;100%;0/0;-;0/0;-;0/0;-
2636;Ivic, Sime;LEI, RB;0/0;-;1/2;50%;0/1;0%;0/0;-;0/0;-;0/0;-
2637;Allendorf, Michael;MTM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2638;Kunkel, Yves;MTM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2639;Kalarash, Gleb;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2640;Arnarsson, Arnar Freyr;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2641;Fuchs, Julian;MTM, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2642;Hanemann, Hendrik;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2643;Krzikalla, Lucas;LEI, RW;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2644;Pavlovic, Domagoj;MTM, CB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
2645;Petersson, Alexander;MTM, RB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/1;0%
2646;Remke, Gregor;LEI, RB;0/0;-;0/2;0%;0/1;0%;0/0;-;0/0;-;0/0;-
2647;Ekberg, Niclas;THW, RW;5/5;100%;0/0;-;0/0;-;2/2;100%;1/1;100%;3/3;100%
2648;Duvnjak, Domagoj;THW, CB;0/0;-;5/7;71.43%;1/1;100%;0/0;-;1/1;100%;0/0;-
2649;Dahmke, Rune;THW, LW;0/0;-;1/1;100%;0/0;-;4/5;80%;0/0;-;1/1;100%
2650;Lindenchrone Andersen, Jon;FAG, RB;0/0;-;2/3;66.67%;3/5;60%;0/0;-;0/0;-;1/1;100%
2651;Reinkind, Harald;THW, RB;0/0;-;3/4;75%;2/3;66.67%;0/0;-;0/0;-;0/0;-
2652;Ellebaek, Tobias;FAG, LB;0/0;-;4/6;66.67%;0/1;0%;0/0;-;0/0;-;0/0;-
2653;Hermann, Till;FAG, LW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;1/1;100%
2654;Bagersted, Jacob;FAG, P;0/0;-;1/1;100%;0/0;-;0/0;-;2/3;66.67%;0/0;-
2655;Gulliksen, Kevin Maageroe;FAG, RW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;1/1;100%
2656;Weinhold, Steffen;THW, RB;0/0;-;2/3;66.67%;0/1;0%;0/0;-;0/0;-;1/1;100%
2657;Sagosen, Sander;THW, CB;0/0;-;2/2;100%;1/2;50%;0/0;-;0/1;0%;0/0;-
2658;Wiencek, Patrick;THW, P;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-;0/0;-
2659;Kozina, Kresimir;FAG, P;0/0;-;1/1;100%;0/0;-;0/0;-;1/1;100%;0/0;-
2660;Goller, Axel;FAG, RW;2/2;100%;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
2661;Zelenovic, Nemanja;FAG, RB;0/0;-;1/3;33.33%;1/2;50%;0/0;-;0/0;-;0/0;-
2662;Ciudad Benitez, Leon;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2663;Horak, Pavel;THW, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2664;Kneule, Tim;FAG, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2665;Pekeler, Hendrik;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2666;Bilyk, Nikola;THW, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2667;Landin Jacobsen, Magnus;THW, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2668;Neudeck, Oskar;FAG, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2669;Heymann, Sebastian;FAG, LB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
2670;Zarabec, Miha;THW, CB;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
2671;Ehrig, Sven;THW, RW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
2672;Schiller, Marcel;FAG, LW;0/1;0%;0/0;-;0/0;-;0/3;0%;0/0;-;0/0;-
2673;Nilsson, Lukas;RNL, LB;0/0;-;1/1;100%;7/10;70%;0/0;-;0/0;-;1/1;100%
2674;Kohlbacher, Jannik;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;5/7;71.43%;0/0;-
2675;Gomes, Andre;MTM, LB;0/0;-;2/3;66.67%;3/4;75%;0/0;-;0/0;-;0/0;-
2676;Schmid, Andre;RNL, CB;3/4;75%;0/2;0%;1/4;25%;0/0;-;1/1;100%;0/0;-
2677;Kunkel, Yves;MTM, LW;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-;0/0;-
2678;Jonsson, Elvar Orn;MTM, CB;0/0;-;4/5;80%;0/0;-;0/0;-;0/0;-;0/0;-
2679;Kuhn, Julius;MTM, LB;0/0;-;1/1;100%;3/6;50%;0/0;-;0/0;-;0/0;-
2680;Kastening, Timo;MTM, RW;1/2;50%;0/0;-;0/0;-;2/4;50%;1/1;100%;0/0;-
2681;Hafner, Kai;MTM, RB;0/0;-;2/2;100%;2/5;40%;0/1;0%;0/0;-;0/0;-
2682;Gislason, Ymir Orn;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2683;Helander, Benjamin;RNL, LW;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2684;Horzen, Kristjan;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
2685;Ahouansou, Philipp;RNL, LB;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;0/0;-
2686;Allendorf, Michael;MTM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2687;Groetzki, Patrick;RNL, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2688;Petersson, Alexander;MTM, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2689;Patrail, Mait;RNL, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2690;Maric, Marino;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2691;Kalarash, Gleb;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2692;Abutovic, Ilija;RNL, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2693;Pavlovic, Domagoj;MTM, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2694;Knorr, Juri;RNL, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2695;Diocou Soumare, Mamadou Lamine;RNL, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2696;Beekmann, Ben;MTM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2697;Fuchs, Julian;MTM, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2698;Arnarsson, Arnar Freyr;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
2699;Zacharias, Lion;RNL, LW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
2700;Vest Kirkelokke, Niclas;RNL, RB;0/0;-;0/0;-;0/3;0%;0/0;-;0/0;-;0/0;-
2701;Kristjansson, Viggo;TVB, RB;3/4;75%;0/2;0%;3/4;75%;0/0;-;0/0;-;1/1;100%
2702;Jeppsson, Simon;HCE, LB;1/2;50%;1/1;100%;3/6;50%;0/0;-;0/1;0%;2/2;100%
2703;Zechel, Tim;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;5/5;100%;0/0;-
2704;Runarsson, Andri Mar;TVB, CB;0/0;-;0/0;-;4/4;100%;0/0;-;0/0;-;1/1;100%
2705;Zieker, Patrick;TVB, LW;0/0;-;0/0;-;1/1;100%;1/1;100%;1/1;100%;1/1;100%
2706;Jaeger, Max;HCE, LW;0/0;-;1/1;100%;0/0;-;2/2;100%;0/0;-;1/1;100%
2707;Peshevski, Zarko;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-
2708;Steinert, Christoph;HCE, RB;1/2;50%;1/1;100%;2/6;33.33%;0/0;-;0/0;-;0/0;-
2709;Pfattheicher, Sascha;TVB, RW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;1/1;100%
2710;Sellin, Johannes;HCE, RW;0/0;-;0/0;-;1/1;100%;1/2;50%;0/0;-;1/1;100%
2711;Lonn, Adam;TVB, LB;0/0;-;1/1;100%;2/5;40%;0/0;-;0/0;-;0/0;-
2712;Hanusz, Egon;TVB, CB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;1/1;100%
2713;Overby, Petter;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%
2714;Schulze, Alexander;TVB, LW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;0/1;0%
2715;Augustinussen, Sebastian;TVB, RW;0/0;-;0/0;-;0/0;-;2/4;50%;0/0;-;0/0;-
2716;Budel, Nico;HCE, CB;0/0;-;1/2;50%;0/1;0%;0/0;-;0/0;-;0/0;-
2717;Leban, Patrik;HCE, CB;0/0;-;1/1;100%;0/2;0%;0/0;-;0/0;-;0/0;-
2718;Fath, Steffen;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2719;Link, Nikolai;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2720;Meschke, Benjamin;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2721;Firnhaber, Sebastian;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2722;Bissel, Christopher;HCE, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2723;Olsson, Hampus;HCE, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2724;Rothlisberger, Samuel;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
2725;Weiss, Dominik;TVB, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
2726;Marschall, Tarek;HCE, LB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/1;0%
2727;Schiller, Marcel;FAG, LW;4/6;66.67%;0/0;-;0/0;-;3/4;75%;0/0;-;1/1;100%
2728;Ellebaek, Tobias;FAG, LB;0/0;-;2/3;66.67%;4/8;50%;0/0;-;0/0;-;0/0;-
